path,artifact_class,provenance_basis,third_party_content,redistribution_basis,disposition
docs/SKILL-CATALOG.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-ai-skill-governance-prd-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-approval-gates-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-evidence-privacy-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-governance-document-metadata-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-runtime-enforcement-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-skill-dependencies-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-skill-primitives-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-skill-structure-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/STD-work-tracker-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/ci/CI-HARDENING-2026-08-18.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-INVENTORY.csv,generated-legal-inventory,Generated locally by scripts/governance/build_ip_inventory.py.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-PRIVACY-REVIEW-COMP-INTEL-FRAMEWORK-2026-09-03.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-PRIVACY-REVIEW-COMP-INTEL-PRDS-2026-08-28.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-PRIVACY-REVIEW-COMP-INTEL-SANITIZED-EXAMPLE-2026-09-03.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-PRIVACY-REVIEW-MARKETING-BRIEF-2026-09-03.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-PRIVACY-REVIEW-PMM-INSTINCT-REVIEW-0.2.0-2026-09-04.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-RIGHTS-REVIEW-2026-08-18.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-RIGHTS-REVIEW-2026-08-25.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-RIGHTS-REVIEW-2026-09-04.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/IP-RIGHTS-REVIEW-PMM-INSTINCT-REVIEW-0.2.0-2026-09-04.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/legal/scancode-summary-2026-08-18.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/DOC-comp-intel-codex-implementation-blueprint-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/DOC-comp-intel-codex-migration-prd-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/DOC-comp-intel-codex-skill-implementation-prd-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/DOC-comp-intel-integrations-implementation-prd-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/DOC-comp-intel-private-migration-prd-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/DOC-comp-intel-public-acceptance-tests-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/DOC-comp-intel-public-distribution-prd-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
docs/product-requirements/comp-intel/README.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/releases/PMM-INSTINCT-REVIEW-PLUGIN-0.2.0-DRAFT.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/GITHUB-SECURITY-CONTROLS.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/SECRET-AUDIT-2026-08-18.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/SECRET-AUDIT-2026-08-25.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/SECRET-AUDIT-PMM-INSTINCT-REVIEW-2026-09-04.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/gitleaks-all-refs-2026-08-25.json,generated-security-evidence,Generated locally by Gitleaks; zero-finding factual report.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/gitleaks-history-2026-08-18.json,generated-security-evidence,Generated locally by Gitleaks; zero-finding factual report.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/gitleaks-tracked-tree-2026-08-18.json,generated-security-evidence,Generated locally by Gitleaks; zero-finding factual report.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/gitleaks-tracked-tree-2026-08-25.json,generated-security-evidence,Generated locally by Gitleaks; zero-finding factual report.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/security/gitleaks-tracked-tree-pmm-instinct-review-2026-09-04.json,generated-security-evidence,Generated locally by Gitleaks; zero-finding factual report.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-glossary-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-persona-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-positioning-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-primitive-skill-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-prioritization-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-skill-discovery-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-skill-md-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/DOC-stakeholder-directory-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
docs/templates/REF-output-format-template-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/.codex-plugin/plugin.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/README.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/hooks/hooks.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/assets/config-template.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/assets/extractor-prompt.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/assets/extractor-schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/assets/instinct-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/assets/state-contracts.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/AGENTS-after.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/AGENTS-before.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/README.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/audit.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/bucket-summary.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/candidate-card.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/config.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/installation-receipt.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/instinct.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/normalized.jsonl,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/priority-snapshot.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/promotion-preview.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/queue.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/status.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/examples/fictional-northstar-reports/suggestions.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/references/DOC-implementation-blueprint.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/references/DOC-product-requirements.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/references/DOC-submission-test-cases.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/scripts/instinct_review.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/scripts/pmm_instinct/__init__.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/scripts/pmm_instinct/adapters.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/pmm-instinct-review/skills/pmm-instinct-review/scripts/pmm_instinct/runtime.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/.codex-plugin/plugin.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/CHANGELOG.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/hooks/hooks.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/assets/templates/governed-document.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/references/RUN-document-governance-audit-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/references/STD-approval-gates-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/references/STD-evidence-privacy-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/references/STD-governance-document-metadata-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-documents/scripts/govern_documents.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/examples/fictional/EX-governance-adoption.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/schemas/governance-manifest.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/schemas/policy-decision.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/schemas/publisher-adapter.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/schemas/skill-registry.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/schemas/source-policy.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/schemas/workflow-run.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/AGENTS.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/claude-settings.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/publisher-adapter.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/skill-governance-ci.yml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/skill-registry.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/source-policy.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/assets/templates/workflow-run.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
